"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX1803088","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469408","","2061.61","1","75601036","3693105174","ST_D1_1000","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803087","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469407","","1780.02","1","68022796","3330298601","ST_D1_0385","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803086","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469406","","2301.21","1","76841078","3775149666","FC_D7_1000","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803085","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469405","","2334.36","1","77628846","3812312275","FC_D7_0385","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803084","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469404","","2318.95","1","75267194","3694287868","FC_D1_1000","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803083","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469403","","2121.01","1","71407704","3510166897","FC_D1_0385","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803082","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469402","","2267.1","1","74061350","3633972027","BD_D7_1000","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803081","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469401","","1944.3","1","63952692","3135280041","ST_D7_0385","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803080","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469400","","2368.45","1","78459663","3853697279","AL_D7_1000","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803079","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469399","","2178.92","1","71912559","3530437422","AL_D7_0385","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803078","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469398","","2283.24","1","76579563","3764605173","AL_D1_1000","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803077","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469397","","2749.94","1","89161484","4380714704","AL_D1_0385","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803076","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469396","","1903.82","1","57859533","2749820170","TP_D7_1000","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803075","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469394","","2827.24","1","85359383","4118136099","TP_D7_0385","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803074","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469393","","2218.85","1","73550148","3612189701","TP_D1_1000","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803073","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469395","","1087.69","1","35081474","1708928084","BD_D7_0385","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803072","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469392","","2410.68","1","79830993","3924882311","TP_D1_0385","RNA-Seq","TRANSCRIPTOMIC","other"
"SRX1803071","","Strongylocentrotus purpuratus","Illumina HiSeq 2000","University of Vermont","SRP075627","Strongylocentrotus purpuratus RNAseq","SRS1469391","","2510.85","1","81829070","4018956096","SH_D7_1000","RNA-Seq","TRANSCRIPTOMIC","other"
